分类,状态量,状态描述,诊断分析,检修决策,报告名称
变压器,母线,故障,[],"('需停电处理', 'A类修检', ['但由于最上层架构导线悬挂点与刀闸人字线固定点间长度在13m左右'])",86-山东-XX2＃变跳闸故障分析(2007)
变压器,分接开关,分接开关故障,['另一侧引出线是上、下绕组出线焊接后引出到有载分接开关K位置也就是说'],"('需停电处理', 'B类修检', ['通过反复试验与检查', '是运城分公司变压器隐患排查治理工作取得的一个可喜的成果。同时', '通过本次缺陷提出、保障该单变安全运行措施的执行、临时供电方案的优化与实施、变压器故障点的查找与分析处理'])",87-山东-XX220千伏1#主变故障分析
变压器,nan,故障,"['*根据以上保护动作报告及后台机信息分析', '由于保护装置采样时采取了滤波措施', '保护动作报告上的35kV电压录波图反映的过电压现象不明显', '，经检查', '，发现220kV1#主变3011刀闸三相动、静触头烧伤损坏301开关柜为合肥高压开关有限公司生产', '发现220kV1#主变3011刀闸三相动、静触头烧伤损坏301开关柜为合肥高压开关有限公司生产', '2002年10月投产运行故障点位于3011刀闸与301CT间', '，因此', '，双套保护动作正确', '']","('需停电处理', 'B类修检', ['3011刀、301B刀及35kV穿墙套管绝缘正常；。加强35kV线路运行管理工作'])",88-山东-XX站1号主变跳闸故障分析（2004）
变压器,绝缘子,绝缘子故障,"['绝缘测试闪络悬瓶串7片绝缘子绝缘电阻均大于3000MΩ通过查看线路工区的盐密测试记录', '对于防污型线路绝缘子']","('不需停电处理', 'D类修检', ['对闪络的悬瓶进行更换清洗公司在分公司进行带电水冲洗作业时'])",89-山东-XX站1_主变跳闸分析报告（2005）
变压器,nan,故障,"['，北京电力试验研究院立即对停运变压器进行了油、气色谱分析和变压器绕组变形试验', '北京电力试验研究院立即对停运变压器进行了油、气色谱分析和变压器绕组变形试验', '油、气色谱分析结果表明5#变压器内部存在电弧性放电、绝缘击穿故障', '变形试验结果显示变压器中压绕组存在明显变形该主变高压是带纠结的连续式绕组', '，低压是螺旋绕组变压器三线卷', '低压是螺旋绕组变压器三线卷', '高压侧为电缆出线结构', '线圈由外向内独立布置', '依次为高压调压、高压、中压、中调调压、低压变压器调压方式为高压有载、中压无载', '都采用单独的调压绕组高、中压线圈连接方式为YN、yn', '中性点调压2006年6月27日及6月30日', '对A变电站5#故障变压器进行了解体', '将三相的高压、中压和调压线圈逐一进行了拆拔', '对整个故障点进行了查找', '发现了中压线圈出现了严重变形和绝缘故障击穿中压线圈短路辐向受力计算表内线圈临界失稳应力主要由导线的径向宽度和坚硬度δ0.2来决定该变压器的中压线圈宽度13.94mm', '，导线宽度和厚度之比（简称宽厚比）达到了5.84（连续式线圈采用的宽厚比一般应在2.5～,且采用的导线较薄', '导线宽度和厚度之比达到了5.84（连续式线圈采用的宽厚比一般应在2.5～,且采用的导线较薄', '导线的辐向强度较低现场测试', '5#变中压导线坚硬度δ0.2=94.6MPa', '与半硬铜导线120Mpa的标准相比', '导线坚硬度较低中压线圈的选材不当造成压器抗短路能力差根据GB1094.5-2003', '依靠计算对变压器的热稳定进行校核', '故障状态下其温升最大值为115.4℃', '远远小于热稳定极限250℃3、该变压器线圈绕制没有采用内外撑条结构', '并且线圈的撑条间距140mm', '比常规间距120mm偏大', '绕组端部压板采用的是分裂半圆压板', '没有采用整圆的高密度层压纸板', '一定程度上降低了线圈的轴向压紧强度']","('需停电处理', 'B类修检', ['经现场检查和分析', '对怀疑有变形的变压器要采取措施；对本次故障变压器结构相同的变压器应采取退运、改造的措施'])",9-北京-北京市A站110kV 5号变压器故障报告
变压器,导线,导线故障,"['部分导线存在绝缘纸破损、短路和断股现象大部分绝缘件表面附着了金属粉末和游离碳', '导线温度达到113℃', '当自粘性换位导线温度超过200℃时']","('需停电处理', 'A类修检', ['现场人员反映在进行互感器极性更换工作时', '发现B相互感器的二次绕组接线未固定好', '工作人员曾用扎带将其固定在挡板的横梁上', '建议从保主设备的原则出发,调整继电保护整定方案', '或逐步安排返厂进行更换线圈及加固修理', '全面统计遭受中、低压短路冲击次数及电流、对于曾反复遭受过近区短路冲击的变压器进行吊罩大修', '大修中重点检查线圈的压紧情况'])",90-江西-江西省220kVWPX变电站220kV #1主变故障报告
变压器,分接开关,分接开关故障,"['手摇有载分接开关转换把手无受力感', '顶部观察有载分接开关内部转轴未旋转', '有载分接开关与机械传动已脱离检查发现分接开关顶部爆破盖炸裂如下图2所示查看电动机构大指针在12~11档之间', '在变电站现场将分接开关切换芯子吊出检查', '见下图4检查有载分接开关储能机构']","('需停电处理', 'B类修检', ['单数侧真空管合上时引起级间短路造成根据现场开关烧损情况及厂内解体检查情况', '全面排查、整改110kV变电站保护装置无有效GPS对时的缺陷'])",91-江西-江西省GA110kV变电站110kV #2主变故障报告
变压器,导线,导线故障,"['试验数据见表3三相各侧绕组无明显变形C相低压绕组第1、2饼局部导线烧损、导线熔断附近其它线饼导线绝缘层有烧黑迹象故障位置最内侧围屏有明显灼烧痕迹', '中压绕组未受绝缘损伤第1、2饼烧损部位导线受损程度由外侧到内侧逐渐减弱；烧损最严重的为最外侧由第2饼到第3饼的""S""弯换位导线', '其它导线均未完全熔断；受损部位导线无位移和形变迹象""8""型变压器在设计、制造中对抗短路强度考虑不足']","('需停电处理', 'A类修检', ['为开展状态检修提供依据', '从之前的变压器运行、试验、检修情况来看', '绝缘损坏的直接原因应是短时内连续多次的10kV线路短路故障冲击加强变压器的防雷保护工作', '同时应重视避雷器的维护和试验工作', '确保遭受雷击后避雷器能有效保护变压器。加强对公司系统现有110kV""8""型变压器监测与跟踪', '重视运行维护和试验分析', '适当缩短该型变压器的检修周期'])",92-江西-江西省XX110kV变电站#1主变故障分析
变压器,nan,故障,"['，在制造厂的指导下由安装单位打开了油箱顶部的人孔板', '在制造厂的指导下由安装单位打开了油箱顶部的人孔板', '发现变压器夹件上的定位装置与油箱触碰', '造成夹件多点接地现场打开变压器油箱顶部两个入孔板后', '即可见变压器器身上两个定位装置', '所示左、右侧均为面对高压测而言', '，该变压器本体在基础上安装落位时', '该变压器本体在基础上安装落位时', '左侧箱底上翘最大有5cm左右', '且落在基础上的位置有点偏移', '高压侧左边基础支撑偏少', '所示现场了解该变压器出厂试验时', '各项试验合格现场安装后', '交接试验中常规试验由安装单位完成', '各项目均出具了合格试验报告；中性点耐压、长时感应耐压及局部放电和频响法绕组变形试验由电科院与中电投检修公司共同完成', '其中局放试验高压三相绕组局放量在150~200pC', '中压三相绕组局放量在250pC左右；中性点耐压合格；绕组变形高、中压三侧波形及相关系数较高', '低压绕组中频段相关系数偏低', '但与出厂试验波形相似', '说明变压器三侧绕组不存在明显变形情况查看三维冲撞仪记录', '全程最大加速度在Z向为0.7', '三维冲撞仪显示运输过程中无超过规程值的加速度', '表明变压器在运输过程中没有受到对变压器器身造成严重移位的冲撞；从现场交接试验分析', '绕组变形试验判断绕组应无明显变形', '局放及中性点耐压试验印证变压器内部绝缘应无损伤', '江西省XX220kV变电站220kV#1主变夹件多点接地分析报告该主变为特变电工衡阳变压器有限公司产品', '发现夹件存在多点接地情况现场检查发现', '，夹件横梁上定位装置加强筋下部2处已经与油箱顶部接触', '夹件横梁上定位装置加强筋下部2处已经与油箱顶部接触', '，；而右侧定位装置处', '，夹件横梁上定位装置加强筋上、下部均与油箱顶部有约2cm左右的间隙', '夹件横梁上定位装置加强筋上、下部均与油箱顶部有约2cm左右的间隙', '图2左侧定位装置处夹件横梁定位加强筋下部与油箱顶部接触右侧定位装置夹件横梁上定位加强筋与油箱顶部间隙']","('需停电处理', 'B类修检', ['在现场安装就位时'])",93-江西-江西省XX220kV变电站220kV #1主变夹件多点接地分析报告
变压器,本体,本体故障,['分别取瓦斯继电器及本体油样'],"('需停电处理', 'B类修检', [])",94-江西-江西省XX220kV变电站220kV #1主变故障报告
变压器,nan,故障,"['变压器油中溶解气体及水分检验结果显示', '#2主变油中氢气、乙炔、总烃含量分别为156μL/L、90μL/L、200μL/L', '#2主变油样及瓦斯气中溶解气体氢气、乙炔、总烃严重超标', '存在严重的放电性故障直阻和变比测试时＃2主变调压开关位置在I档直阻测试结果如表2所示', '高、中压侧线圈直阻严重超标从直阻测试结果分析#2主变中压A相绕组高中压侧可能存在断股从数据分析', 'C相中中低压变比严重超标', '变压器内部线圈可能存在严重的匝间短路现象高压绕组A、B、C三相未见异常', '但高压绕组A、B、C三相线圈各处均附有游离的炭黑；A、B、C三相低压线圈也存在鼓包变形；此次故障共损坏了中低压6个绕组线圈；高压A、B、C三相到处附着有游离炭黑严格执行运规要求', '落实国家电网公司十八项反措要求', '220kV变压器一旦发生出口和近区短路', '，并应对变压器进行油中气体色谱分析、直流电阻、变比以及绕组变形试验', '并应对变压器进行油中气体色谱分析、直流电阻、变比以及绕组变形试验', '试验结果正常后方能重新投运图2A相低压绕组（吊拆中压绕组时', '，中低压绕组相互卡涩', '，无法分离）。B相低压绕组（内钢压板的缝隙处有绝缘条冒出）', '，检查发现中压A、B、C三相都有贯穿性鼓包', '检查发现中压A、B、C三相都有贯穿性鼓包', '线圈向外鼓出约90mm左右；']","('需停电处理', 'B类修检', ['存在股间和匝间的短路从吊罩检查情况分析', '建议对全网的110kV及以上变压器进行安装地点短路电流验算', '对系统短路电流超过变压器所能承受热稳定和动稳定电流的变电站采取限流措施或调整合适的运行方式降低短路电流'])",95-江西-江西省XX220kV变电站220kV＃2主变故障报告
变压器,分接开关,分接开关故障,"['以限制有载分接开关极性转换过程中的偏移电压）接线端子连接处虚接（、', '未再发现其它异常ZZ#2主变有载分接开关为北京ABB高压开关设备有限公司2001年4月制造', '分接开关为带极性选择器的组合式']","('需停电处理', 'B类修检', ['有必要提醒各安装、运行单位', '应与制造厂家沟通了解是否安装束缚电阻及其安装方式'])",96-江西-江西省ZZ220kV变电站220kV＃2主变故障报告
变压器,套管,有放电声,"['图8支持瓷瓶沿面放电痕迹图9百叶窗水流痕迹', '现场检查发现,站内35kV配电室内311穿墙套管到开关间铝排有放电痕迹', '穿墙套管上方通风百叶窗有水流痕迹', '侧装支瓶上面有一层细土并有沿面放电痕迹CT1为穿墙式套管CT', 'CT1到35kV母线设备为户内布置,穿墙套管CT1应用于35kV母差保护及1＃主变的RCS-978E保护']","('需停电处理', 'C类修检', ['防止风雨天气时雨水进入配电室危及设备安全对通风条件较差的配电室及无人值班变电站配电室可加装带温湿度控制器的轴流风机加强通风', '保证在潮湿天气时室内空气流通有计划地对配电室内支瓶设备尤其是侧装支瓶积灰情况进行重点检查和清扫4、加强设备巡视管理严格按照有关规定巡视设备', '保证巡视次数和巡视质量。加强特殊天气对配电室等处的特巡工作'])",97-河北-河北省CJ站220kV1号主变跳闸故障报告
变压器,导线,导线故障,"['两台变压器应能承受且无损伤3、天威保变已在2005年7月以后生产的变压器中采用了自粘换位导线', '对于防止轴向力和辐向力作用下导致导线倾倒和严重变形并引发股间或匝间绝缘破坏有明显效果（天威保变产220kV变压器共计188台', '其中中压线圈与CS主变同样采用非自粘换位导线的有55台）']","('需停电处理', 'A类修检', ['提高变压器承受短路能力如果55台变压器进行大规模返厂改造将带来资金和电网运行的极大压力', '不再进行返厂改造一是技术协议中增加23条补充条款', '重点是电磁线入厂检测、中低压线圈绕制、整体套装'])",98-河北-河北省CS站220kV1号、2号变压器故障报告
变压器,套管,表面放电,"['110kV侧A相套管导电杆及电容芯子向上蹿出15cm左右', '套管上瓷套根部断裂漏油', '220kV侧三相套管上瓷套根部局部裂纹并渗油图4中压A相套管芯子上蹿15cm图5中压A相套管顶部定位销弯曲图6中压A相套管根部瓷套断裂图7高压A相套管根部瓷套裂纹图8高压B相套管根部瓷套裂纹图9高压C相套管根部瓷套裂纹7月11日', '进一步卸下中压A相套管发现', '套管下部均压球存在严重放电痕迹', 'CT筒内沿存在放电痕迹', '套管升高座内壁存在一个放电点', '电容芯子划屏检查未见异常图10套管底部均压球放电痕迹图11套管CT筒底部内沿放电痕迹图12A相套管升高座内壁放电点图13A相套管电容芯子划屏检查变压器吊检和拔包表明', '至18所示套管下瓷套碎块拼接表明', '套管下瓷套均压球和套管CT筒之间沿下瓷套内壁有一贯穿性放电通道图19套管下瓷套碎块拼接图20碎块拼接后尺寸与原瓷套一致图21套管下瓷套碎块拼接图22碎块拼接后尺寸与原瓷套一致未损坏的中压侧B、C相套管及高中压中性点套管按照出厂试验标准进行了全项目试验', '未见异常对中压套管进行解体分析', '套管电容芯子及上下瓷套表面无异常对高压套管进行解体分析', '所示进行套管抗弯试验', '垂直于套管轴线施加到端子的中点并持续60s', '所示图24高压套管裂纹处瓷断面图25中压套管抗弯试验随即抽检两支瓷套', '均未发现异常但从故障套管解体情况看', '套管导电杆外壁渗水此时主绝缘纸会吸收水分另一方面', '雨水沿导电杆外壁流入到套管内部', '主绝缘会吸收水分从故障套管解体情况看', '套管主绝缘没有水渍现象', '说明套管轴向三道密封圈密封没有失效', '密封完好故障套管解体没有发现弹簧压板表面有水渍现象', '密封完好下部均压球随电容芯子上移15cm后与套管升高座内壁绝缘距离减小', '对升高座内壁放电套管返厂试验、下瓷套瓷质检验及对瓷套供货商的突击检查均未发现类似质量缺陷', '判断本次套管下瓷套内壁贯穿性故障属个性问题沧州供电公司已对NDG2号变3支中压套管进行过油色谱分析', 'NDG1号主变中压侧A相套管上部储油柜和电容芯子整体上蹿约15cm', '套管上瓷套根部断裂漏油', '三相高压套管上瓷套根部不同程度裂纹并渗油', '两个压力释放阀动作故障套管顶部密封结构为轴向三道密封圈密封、横向两道平面密封、取油塞密封图28盖板密封圈及顶套斜稍密封圈图29顶套与油枕盖板间密封面故障后']","('不需停电处理', 'D类修检', ['为排除套管密封不良', '法兰内部有一个固定绝缘电容芯子的3600档板', '现场不具备修复条件', '必须返厂彻底检修', '并更换全部套管', '加强NDG站及110kV韩南线设备特巡'])",99-河北-河北省NDG站220kV1号变压器故障报告
开关设备,断路器,断路器故障,"['缺陷成功消缺现场检测的萍乡姚家洲110kV变电站110kV母联131断路器C相SF6气体泄漏图像和视频', '从录像中可以清晰的看出SF6气体泄漏成像情况从检漏仪器所拍摄的视频及图片可明显看见断路器C相充气阀门接头存在沙眼', '气体从该沙眼处漏出现场检测的丹江110kV变电站110kV五丹线121断路器SF6气体泄漏图像和视频', '从录像中可以清晰的看出SF6气体泄漏成像情况从检漏仪器所拍摄的视频及图片可明显看见断路器B相瓷套与底座法兰连接处有气体漏出1）SF6气体泄漏红外成像检漏具有较高的实用性和可操作性']","('需停电处理', 'A类修检', [])",01-江西-红外成像法定位110kV SF6断路器漏气缺陷
开关设备,避雷器,外观破损、连接线断股、引线被盗或断线,"['SF6气体分解物检测发现GIS内部接触不良放电缺陷经解体检查发现内部避雷器与主回路接触不良且存在放电现象', '随即进行处理对111-4、112-4气室气体进行了SF6气体成分分析', '发现气体成分与投运前相比已发生变化均超出《带电检测及在线监测相关技术标准》规定值避雷器上方的过度块未装', '避雷器至主回路的导体均未插入足够深度', '插入屏蔽罩内15mm见图2-2随后拆分111间隔避雷器后发现避雷器至主回路的A、C相导体面均有沿导体表面且垂直导体轴心的长约30mm、宽约2mm、深度0～1.5mm的放电痕迹经过清理、检查', '避雷器至主回路的A、C相导体对接处屏蔽罩和梅花触指未见烧损随后', '把112间隔避雷器上方四通罐体的盖板及避雷器拆分开', '做了同111间隔同样的检查发现112间隔与111间隔是相同现象所以在本工程出厂时把避雷器至主回路的导体与避雷器拆分运输', '以避免现场做耐压时未拆出避雷器至主回路的导体而导致避雷器击穿2.111、112主进间隔避雷器连接处为特殊结构', '在检查过程中发现避雷器至主回路的A、C相导体上有灰白色粉末见图2-1图2-1触头处烧损痕迹及灰白色粉末图2-2导体插入深度不够', '避雷器法兰与上方四通罐体法兰对接口连接螺丝排布不一致', '避雷器连接导体为标准件安装时必须加装高度为30mm的过度块']","('需停电处理', 'A类修检', ['随即制定缺陷处理方案以上原因导致过度块漏装', '当检测到气体分解物含有H2S、SO2、HF、CO等特征气体时', '曾出现在现场做耐压试验时击穿避雷器的情况3.厂家在出厂发运或安装过程中漏掉了111、112主进间隔的避雷器导体安装过度块。在组合电器安装图纸、装箱清单中未标出过度块', '安装说明书中也没有111、112间隔避雷器对接法兰改变结构后需要加装对过度块的说明'])",02-河北-SF6气体分解物检测110kVGIS接触不良缺陷
开关设备,气室,声响异常,"['超声局部放电检测220kVGIS异常声响缺陷', '也无放电痕迹在111-2刀闸气室解体时', '111-2刀闸气室未发现异常', '未发现异物、凸起或毛刺等对绝缘盆子静触头屏蔽罩、静触头固定螺丝、母线连接排螺丝等气室内的所有螺丝进行了检查', '发现111-1刀闸B、C相之间的传动绝缘拉杆底部有晃动现象刀闸操作机构在气室上方']","('需停电处理', 'B类修检', ['基本可以排除由于异物或尖端放电引起异响虽然弹簧垫没有压平', '故可排除此处螺丝松动造成出现异响的可能动静触头的连接是靠周围一圈弹簧触指压紧的', '从而出现晃动现象结合局放试验""111-1刀闸处局部放电检测数据异常', '内部元件安装时未紧固好', '拉杆与刀闸齿轮插接位置容易出现配合不严密的情况。本次缺陷原因为制造厂家现场安装工艺把关不严', '安装时未详细检查内部固定螺栓紧固情况及相关运动部位的配合情况', '在现场安装中防止由于松动造成的异常状况的出现。新设备投运', '仔细检查设备投运后运行状态', '出现异常情况及时与制造厂家、安装部门沟通'])",03-河北-超声局部放电检测220kVGIS异常声响缺陷
开关设备,套管,有放电声,"['超声、特高频局部放电检测220kVGIS电缆终端缺陷经解体发现该终端内部存在严重放电烧伤痕迹', '油喷射而出密封法兰与环氧套管之间的O型圈已因压力过大被挤出错位', '且已断裂图4-5应力锥及电缆上的放电点绕包的绝缘自粘带及PVC带上及与绝缘带连接的应力锥底部发现放电点且出现较深裂痕图4-6应力锥下绕包的胶带出现了较深裂痕电缆环氧套管内壁有2处放电痕迹密封法兰上沉淀有大量的黄色杂质应力锥上有杂质呈发散状排列', '放出的电缆油颜色发黄电缆上及套管内壁无大量聚合物', '但是电缆主绝缘及套管内壁上有杂质干结粘连物']","('需停电处理', 'C类修检', ['加强充油设备现场注油环节的监督加强电缆设备带电检测工作', '坚持采用多种方法联合检测。充分利用超声波、特高频等局放检测方法在局部放电检测中的应用', '加强油色谱检测方法的使用'])",04-河北-超声、特高频局放检测220kVGIS电缆终端缺陷
开关设备,断路器,断路器故障,"['之后对112断路器进行3次不停电补气', '112断路器上部法兰存在漏气', '10月11日-13日对112断路器进行停电检修、试验打开法兰', '造成断路器SF6压力不断降低处理后试验数据与例行试验没有明显变化', '再次对该断路器进行红外检漏']","('需停电处理', 'A类修检', ['有着明显区别于停电检测的优势', '同时对比于激光检测也能更快速的发现漏点针对GIS设备及SF6断路器等设备的增多', '部分设备老化或者安装过程中因为安装水平的原因造成密封性能下降', '设备漏气这类缺陷事故不仅需要在检修过程中进行重点排查', '采用合适的检测方法', '结合不同手段进行处理。避免因检测手段单一造成对故障的误判'])",05-河北-红外热像技术发现110kV断路器漏气缺陷
开关设备,绝缘子,绝缘子故障,"['更为明显为准确判断盆式绝缘子开裂的原因', '将该缺陷盆式绝缘子返厂进行X光照射、冰冻等试验由于厂家设计原因', '法兰及盆式绝缘子安装孔内易渗水', '去除盆式绝缘子光孔下部防雨帽', '并对该螺栓按工艺83.5NM力矩进行紧固对盆式绝缘子螺纹孔进行抽查', '准确发现备用220kV间隔II母线刀闸C相气室与II母线气室连接的盆式绝缘子螺栓部位漏气2014年2月11日上午', '发现220kV间隔II母线刀闸C相气室与II母线气室连接的盆式绝缘子螺栓部位漏气', '本次漏气位置盆式绝缘子安装孔为光孔']","('需停电处理', 'B类修检', ['今后对于户外安装GIS', '设备缺陷检测过程中', '重点观测法兰、管道接口等密封处。如排除相关位置'])",06-河北-激光成像技术发现220kVGIS漏气缺陷
开关设备,nan,故障,"['2月26日现场检查压力约降低了0.01MPa', '因此预计漏气速率在0.01-0.015MPa/日之间', '，压力值降低至报警值0.35MPa', '压力值降低至报警值0.35MPa', '进行充气至额定压力处理技术人员在220kV柏林站使用HX-1型SF6泄漏激光成像仪进行检测', '发现220kV崇柏线252-5KD接地刀闸机构拐臂盒与壳体间的绝缘法兰与地刀机构的螺丝处', '遂进行更换处理2014年3月4日', '技术人员在220kV柏林站使用HX-1型SF6泄漏激光成像仪进行检测', '发现220kV崇柏线252-5KD接地刀闸机构拐臂盒与壳体间的绝缘法兰与地刀机构的螺丝处', '刀闸C相气室与II母线气室连接的盆式绝缘子螺栓部位漏气', '气体泄漏伴随着风力断断续续的飘出', '，所示试验人员选择合适的位置、成像角度和背景进行了拍摄', '所示试验人员选择合适的位置、成像角度和背景进行了拍摄', '，视频中为动态显示', '，更为明显泄漏位置的可见光照片如图3所示。SF6红外成像检漏尽量选择天气晴好、无风或微风的情况下进行', '更为明显泄漏位置的可见光照片如图3所示SF6红外成像检漏尽量选择天气晴好、无风或微风的情况下进行', '，气体扩散迅速', '，气体温度容易变成背景温度', '气体温度容易变成背景温度', '观测结果会受到较大影响', '不利于发现设备缺陷部位', '国网河北省电力公司柏林站220kV崇柏线252-5刀闸组合电器为泰开集团山东泰开高压开关有限公司2007年11月生产的GIS成套设备', '2008年6月投运检测环境']","('需停电处理', 'B类修检', [])",07-河北-红外热像技术发现220kVGIS漏气缺陷
开关设备,母线,母线故障,"['超声局部放电检测发现220kVGIS母线支撑绝缘子缺陷', '对212间隔下侧1号母线进行了解体检修', '检查发现220kV1号母线B相支撑绝缘子存在黑色痕迹', '判断为母线绝缘子制造工艺不良', '投运现场发现212间隔母线处有异常声响']","('需停电处理', 'A类修检', ['今后工作要加强新设备驻厂监造环节监管', '对母线支柱绝缘子进行了更换', '局部放电检测无异常,缺陷消除,设备恢复正常运行新设备投运', '仔细检查设备投运后运行状态', '出现异常情况及时与制造厂家、安装部门沟通', '提高入网设备质量水平。超声波检测法在操作和故障判断上容易实现', '且检测时间短'])",08-河北-超声局部放电检测发现220kVGIS母线支撑绝缘子缺陷
开关设备,nan,故障,[],"('需停电处理', 'B类修检', [])",09-河北-红外热像检测发现35kV断路器中间触头温度异常
开关设备,nan,故障,"['，发现该批次设备线夹存在质量缺陷', '发现该批次设备线夹存在质量缺陷', '铜铝过渡位置焊接工艺不满足要求', '因此对同批次同类型设备线夹进行集中更换检测发现110kV岗五线线路侧隔离开关A相设备线夹上有一条明显的缝隙', '对拍摄的照片进行分析', '，更换缺陷设备线夹图3发现设备线夹上有裂缝图4正常的设备线夹', '更换缺陷设备线夹图3发现设备线夹上有裂缝图4正常的设备线夹', '国网乌鲁木齐供电公司110kV某变电站设备线夹', '']","('需停电处理', 'B类修检', ['检查发现设备线夹质量不过关', '无线遥控影像技术是通过一台能够远方控制的相机以及一个远程控制终端实现相机安装在试验合格绝缘杆上', '利用远程控制终端调整相机的拍摄位置', '防止相机固定杆造成相间短路'])",10-新疆-无线遥控影像技术检测发现110kV设备线夹开裂缺陷
开关设备,nan,故障,"['，从三相整体红外热像图上', '从三相整体红外热像图上', '可以看出A、B、C相隔离开关断路器侧刀口发热', '设备发热部件的材质为铜', '，设备正常相温度25℃', '设备正常相温度25℃', '环境温度参照体温度7℃A相发热部位为左侧中片触指与触头间', '最高温度为220.6℃', '相对温差91.6%B相发热部位为左侧下片触指与触指座间', '最高温度114.4℃', 'C相发热部位为左侧下片触指与触指座间', '，相对温差70.9%处理后温度较正常部位仍较高', '相对温差70.9%处理后温度较正常部位仍较高', '，加强日常巡视检查', '，下图为处理后的温度监视曲线', '下图为处理后的温度监视曲线', '温度趋势稳定该型隔离开关为完善化改造中的过渡型产品', '且运行环境恶劣、年限较长', '运行中发生多起同类缺陷', '**变电站220kV**线284西隔离开关2006年10月投入运行', '最近投运日期为2012年12月']","('需停电处理', 'B类修检', ['我们在带电处理时', '不能只清洁发热部件大量事实说明红外热成像检测技术能够行之有效的发现设备过热缺陷', '除了例行周期性红外检测以外', '能够有效指导设备检修', '提高检修工作效率和质量使用高强度的螺栓', '避免接触面接触不良导致过热在刀闸选型时优先选择具有引弧装置并切实能够起到转移电流作用的设备避免设备多次操作以后出现触头烧损严重的情况对已发现处理的严重过热刀闸', '结合停电及时检查同期同类设备。在刀闸检修工作过程中'])",100-山西-红外热像检测发现220kV隔离开关闸口过热
开关设备,气室,气室故障,"['由于该气室漏气现象较为严重', '并将漏气C相气室与其他两相气室隔离', '避免A、B两相气室气压进一步下降', '同时将与QS4气室相邻的2708断路器C相气室SF6压力由0.6MPa降低至0.4MPa', '发现220kV瑞北Ⅱ线2708GIS间隔QS4气室压力已由8月28日的0.44MPa降低至0.40MPa']","('需停电处理', 'B类修检', ['需要对该段罐体进行整体更换'])",101-山西-红外成像检 漏发现220kVGIS气室漏气故障
开关设备,绝缘子,绝缘子故障,"['判断为该盆式绝缘子漏气为近期产生的设备故障由于气体泄漏量较小、气室较大', '共4天时间对故障盆式绝缘子进过更换处理']","('需停电处理', 'B类修检', ['导致突发性开裂渗漏装配人员在进行产品注胶过程中为防止防水胶溢出没有按工艺要求进行力矩紧固,使盆式绝缘子受力不均,盆式绝缘子受到应力导致出现裂纹,在长时间运行中裂纹不断延伸超过密封槽时,出现漏气现象。安装过程中', '个别工作人员责任心不强,未严格按标准、按工艺、按图纸进行装配、安装', '且存在受力面不均匀的情况。对新建变电站设备安装过程的监督存在漏洞', '导致未按照工艺标准进行安装'])",102-山西-红外成像检漏发现22 0kV_GIS设备母线分段间隔SF6气体泄露
开关设备,气室,气室故障,"['SF6红外成像检漏发现220kVGIS组合电器气室密度继电器相间连接管路气体渗漏', '气室压力为0.34Mpa；2013年12月13日', '上午12时发现220kV2002间隔的QS6气室压力为0.34Mpa,该气室低气压报警']","('需停电处理', 'B类修检', ['将发现气体渗漏处拆解进行处理', '更能为及时处理发现的设备缺陷提供有力的技术支撑为充分利用该技术确保设备正常稳定运行在除例行检修工作外进行', '检修设备停电前等工作当中加入红外检漏工作'])",103-山西-红外检漏发现220kVGIS组合电器气室密度继电器相间连接管路气体渗漏
开关设备,气室,气室故障,"['检修人员于18日下午到达该站对2002-1隔离开关A相气室进行气体组份检测', '并对2002断路器气室、出线套管及一瓶未开封的SF6气瓶进行检测比对发现异响气室CO含量偏高', '怀疑2002-1隔离开关A相气室内部有局部放电', '红圈位置为怀疑放电气室']","('需停电处理', 'B类修检', ['触头及连杆使用的合金中的碳原子经电弧作用下有可能与气体中的水分或者空气产生CO气体由于放电部位是在生产厂家组装以后运至现场安装', '排除现场安装进入异物导致放电当传动部位打开后', '应加强同批次、同型号设备运行监护', '对怀疑内部故障的设备开展专项组分检测工作', '确保提前发现、提前处理'])",104-山西-六氟化硫气体组分检测发现220千伏GIS气室放电故障
开关设备,断路器,绝缘电阻不合格,"['特高频局部检测发现110kVGIS断路器内部局部放电信号', '在110kV102间隔及其附近的绝缘盆子检测到一个比较稳定的超高频局放信号', '发现在102断路器上绝缘盆处测得的放电强度最大', '判断内部放电故障为""GIS内部存在浮动电极或接触不良型的放电故障""图21021隔离断路器附近绝缘盆子局放实时检测界面图31021隔离断路器附近绝缘盆子局放""相位-相对幅值""图图5102断路器上绝缘盆子局放""相位-相对幅值""图图7102断路器下侧绝缘盆子局放""相位-相对幅值""图在检测到局放信号后', '目前共进行了20次特高频局部放电检测工作图15102断路器上绝缘盆子局放相位-幅值图图17102断路器下绝缘盆子局放相位-幅值图图19102断路器上绝缘盆子局放相位-幅值图图21102断路器下绝缘盆子局放相位-幅值图', '生产厂家新东北电气高压断路器有限公司']","('需停电处理', 'A类修检', ['特高频局放检测技术是目前发现组合电器内部因接触不良、脏污、悬浮电位、自由金属颗粒等引起的局部放电最有效的手段如果需要精确定位', '建议制定跟踪检测计划', '对其放电信号进行持续关注。局放检测过程中', '要尽量排除外部环境中其它放电点的干扰'])",105-山西-特高频局部检测发现110kV GIS断路器内部局部放电信号
